"Player","Team","Position","ETR Rank","ETR Pos Rank","ADP","ADP Pos Rank","ADP Differential",
"Gus Edwards","BAL","RB","270","RB84","218.2","RB66","-51.8",
"Desmond Ridder","ATL","QB","271","QB31","226.9","QB31","-44.1",
"Will Dissly","SEA","TE","272","TE43","240.0","TE48","-32.0",
"Ty Montgomery","NE","RB","273","RB85","227.2","RB86","-45.8",
"Phillip Lindsay","UFA","RB","274","RB86","224.5","RB78","-49.5",
"Justin Jackson","DET","RB","275","RB87","223.7","RB73","-51.3",
"Kenyan Drake","BAL","RB","276","RB88","225.8","RB82","-50.2",
"Tylan Wallace","BAL","WR","277","WR115","225.3","WR101","-51.7",
"Terrace Marshall","CAR","WR","278","WR116","226.6","WR110","-51.4",
"Dan Arnold","JAX","TE","279","TE44","230.2","TE46","-48.8",
"Laviska Shenault","CAR","WR","280","WR117","224.1","WR96","-55.9",
"Kylen Granson","IND","TE","281","TE45","230.3","TE47","-50.7",
"Tre'Quan Smith","NO","WR","282","WR118","225.7","WR103","-56.3",
"Joshua Kelley","LAC","RB","283","RB89","218.4","RB67","-64.6",
"Durham Smythe","MIA","TE","284","TE46","227.4","TE37","-56.6",
"Adam Humphries","UFA","WR","285","WR119","240.0","WR122","-45.0",
"Kyle Philips","TEN","WR","286","WR120","223.6","WR95","-62.4",
"Dyami Brown","WAS","WR","287","WR121","240.0","WR122","-47.0",
"Pharaoh Brown","HOU","TE","288","TE47","229.6","TE43","-58.4",
"Marquez Callaway","NO","WR","289","WR122","225.9","WR105","-63.1",
"Dez Fitzpatrick","TEN","WR","290","WR123","240.0","WR122","-50.0",
"Myles Gaskin","MIA","RB","291","RB90","224.2","RB77","-66.8",
"Giovani Bernard","TB","RB","292","RB91","230.3","RB91","-61.7",
"Danny Gray","SF","WR","293","WR124","223.0","WR93","-70.0",
"Jared Cook","UFA","TE","294","TE48","226.0","TE36","-68.0",
"T.Y. Hilton","UFA","WR","295","WR125","228.5","WR120","-66.5",
"Jalen Guyton","LAC","WR","296","WR126","226.2","WR107","-69.8",
"Brandon Bolden","LV","RB","297","RB92","228.2","RB88","-68.8",
"Tyler Johnson","HOU","WR","298","WR127","225.8","WR104","-72.2",
"Tyquan Thornton","NE","WR","299","WR128","227.7","WR115","-71.3",
"Salvon Ahmed","MIA","RB","300","RB93","240.0","RB92","-60.0",
